뉴스제목,주가변동
"리모컨 가지고 놀다가 병원 실려 간 4살 아이, 식도서 ‘이것’ 나와",0
"SK하이닉스, 임금협상 마무리…전 직원 격려금 120만원",0
금요일 잠실·한티·오리·서현역서 사람 죽일것 '살인예고',0
[영월 특집 마대산 계곡산행] 조선 최고의 인플루언서 김삿갓 생가를 품은 산,0
[보니하니]'프로' 탈 쓴 '15인치' 맥북 에어,0
"개미 vs 기관, ‘공매도 전쟁’ 에코프로→포스코홀딩스 확전 태세",0
"Fear, anxiety spread after multiple stabbing incidents",0
세 쌍둥이 태아별에 영양분 주는 '탯줄' 찾았다,0
"[속보] 전주서 ""'칼부림 예고' SNS 글 봤다"" 신고 접수돼.. 경찰 ""진위 파악 중""",0
"월세 1만원 아파트, 30분 통근이면 시골 사시렵니까",0
신림동 이어 이번에는 서현역 묻지마 칼부림 사건,0
구조적 차별의 실체를 밝히는 ‘듣기’에 대하여,0
[속보] 이번엔 대전서 교사가 흉기에 피습…용의자 도주,0
[뉴스+] 주유소 뒤에서 발견된 땅굴의 정체는?,0
"""속옷 조여왔다""...꽃가루 먹고 ﻿가슴 커졌다는 게 진짜?",0
日여행서 돌아올때 ‘컵 곤약젤리’ 사오지마세요…반입금지 식품 지정돼,0
무차별 흉기 휘두르던 그놈의 오른손.. 봉합 수술 완료,0
순한 맛 페미니즘 코미디 '바비'에 당황한 남성들,0
대전 한 고등학교서 '흉기 난동' 사건 발생… 교사 1명 병원 이송,0
돌고 돌아 제자리 4대강 사업,0
포스코홀딩스 앞 비관론과 공매도론의 '충돌' [컴퍼니+],0
분당 백화점 난동 피의자 경찰서 횡설수설,0
"[속보] 中, 마약소지 한국인 사형 집행… 2014년 이후 9년만",0
“이게 되네?”…전 세계가 'LK-99' 초전도체 검증 나서[노벨상일까 신기루일까],0
"약속 어긴 김효재, 방문진 검사·감독 강행",0
"더 멀어진 최저임금 '1만원 시대'.. 2024년도 9,860원  결정",0
"하루 실제 확진자 8만명, 코로나 공포 아직 끝나지 않았다",0
“차가운 거 먹어서 그렇지…” 병원 가봐야 하는 설사 증상 따로 있다,0
"155cm, 45kg 아내를 때린 유명 화가, 놀라지 마시라",0
"서현역 흉기난동범 경찰보다 먼저 공개한 JTBC ""알 권리 고려""",0
"목욕물 된 바다, 불타는 산···우리가 아는 여름휴가 끝일 수도 있다?",0
"""껐다 켰다 하면 더 나온다?""…에어컨 전기료 아끼는 법",0
'잼버리 배우러' 공무원 99번 해외출장…대부분 '관광',0
"""이상한 냄새 나요"", ""난동범 있다""..지하철 9호선 오인신고에 화들짝",0
"'부자아빠' 기요사키 ""美 경제 붕괴 임박...비트코인 투자해야""",0
"BTS 슈가 어깨 드러내자…""칼부림 났다"" 신논현역 소동",0
"이 연속사진을 보라…전 지구적 물난리, 우리 집이 무너진다",0
'빌런'은 주호민 아내였다?…녹취록 들은 전문가 반응 봤더니,0
'카눈' 위력 키워 한반도 정중앙 돌파‥잼버리 때리고 수도권 덮칠 듯,0
"김현숙 여가부 장관 ""잼버리 참가자 중 '아주 만족하지 못하고 있다'는 응답 4%에 불과""",0
"“어깨 문신 봤을 뿐인데”…지하철 9호선 아수라장, ‘비명소리’의 정체",0
“평생 죄 없이 사신 분이데…” 황망한 죽음에 조문객 눈물,0
